indicator,indicator_type,first_seen,last_checked,evidence_state,current_state,related_repo,classification,evidence_ref
51.178.11.187:1224,ip_port,2026-09-17,2026-09-20,PROVEN,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
51.210.52.212:3333,ip_port,2026-09-15,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
51.210.78.62:1224,ip_port,2026-09-18,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
51.210.78.62:3333,ip_port,2026-09-18,,INFERRED-CANDIDATE,NOT_RECHECKED,,CANDIDATE-PASSIVE,iocs/recheck-2026-09-20.md
51.210.78.63:1224,ip_port,2026-09-17,2026-09-20,PROVEN,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
51.77.188.54:1224,ip_port,2026-09-13,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
51.77.188.54:3333,ip_port,2026-09-13,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
91.121.235.123:1224,ip_port,2026-09-12,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
91.121.235.123:3333,ip_port,2026-09-12,2026-09-20,INFERRED-CANDIDATE,REACHABLE,,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
http://51.178.11.186:1224/,url,2026-09-15,2026-09-20,PROVEN,REACHABLE,related :1224 cluster,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
http://51.178.11.187:1224/,url,2026-09-15,2026-09-20,PROVEN,REACHABLE,related :1224 cluster,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
http://51.178.11.187:1224/api/checkStatus,url,2026-09-17,2026-09-20,PROVEN,HOST_REACHABLE / ROUTE_NOT_CONTACTED,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
http://51.210.78.63:1224/,url,2026-09-15,2026-09-20,PROVEN,REACHABLE,related :1224 cluster,CANDIDATE-ACTIVE-SAME-TEMPLATE,evidence/c2/C2-1224.md
http://51.210.78.63:1224/api/checkStatus,url,2026-09-17,2026-09-20,PROVEN,HOST_REACHABLE / ROUTE_NOT_CONTACTED,,CANDIDATE-PASSIVE,evidence/c2/C2-1224.md
